,num_robots,robot_speed,robot_speed_kmh,simulation_duration,generation,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,num_delivered_5,utilization_rate_5,delivery_rate_5,num_risks_5,unique_id_5,seed_5,requests_per_hour_5,execution_time_5,num_delivered_6,utilization_rate_6,delivery_rate_6,num_risks_6,unique_id_6,seed_6,requests_per_hour_6,execution_time_6,num_delivered_7,utilization_rate_7,delivery_rate_7,num_risks_7,unique_id_7,seed_7,requests_per_hour_7,execution_time_7,num_delivered_8,utilization_rate_8,delivery_rate_8,num_risks_8,unique_id_8,seed_8,requests_per_hour_8,execution_time_8,num_delivered_9,utilization_rate_9,delivery_rate_9,num_risks_9,unique_id_9,seed_9,requests_per_hour_9,execution_time_9,sequential_execution_time,execution_time
0,1,194,19.4,1,0,4.5,5.0,0.9646666666666667,0.1,10,5.0,0.9536111111111112,0.1,7.0,0,502805748326,50,10.822476863861084,5.0,0.9911111111111112,0.1,7.0,1,156299688289,50,10.14160704612732,5.0,0.9494444444444444,0.1,4.0,2,469100661221,50,11.2693190574646,5.0,0.9694444444444444,0.1,4.0,3,733295057794,50,10.385536670684814,5.0,0.9838888888888888,0.1,4.0,4,717263017026,50,10.084578275680542,5.0,0.9730555555555556,0.1,4.0,5,523021122055,50,10.527962684631348,5.0,0.9447222222222222,0.1,1.0,6,441149503103,50,11.085394620895386,5.0,0.9763888888888888,0.1,8.0,7,903894823209,50,10.430397510528564,5.0,0.9808333333333332,0.1,2.0,8,606618061344,50,10.547961235046387,5.0,0.9241666666666668,0.1,4.0,9,366783982512,50,11.542959690093994,106.83819365501404,12.090407848358154
1,3,34,3.4,1,0,5.9,9.4,0.9231203703703704,0.188,10,10.0,0.9219444444444443,0.2,9.0,10,502805748326,50,21.12888789176941,10.0,0.9408333333333333,0.2,8.0,11,156299688289,50,21.063180923461914,9.0,0.9365740740740739,0.18,5.0,12,469100661221,50,22.1599338054657,9.0,0.9050925925925926,0.18,8.0,13,733295057794,50,23.679134845733643,9.0,0.951574074074074,0.18,2.0,14,717263017026,50,21.3775155544281,9.0,0.9287962962962965,0.18,3.0,15,523021122055,50,22.50337290763855,10.0,0.9011111111111111,0.2,6.0,16,441149503103,50,22.880303621292114,9.0,0.9147222222222222,0.18,8.0,17,903894823209,50,23.185499906539917,9.0,0.888425925925926,0.18,6.0,18,606618061344,50,24.650341987609863,10.0,0.9421296296296297,0.2,4.0,19,366783982512,50,20.965142011642456,223.59331345558167,24.83860731124878
2,7,48,4.8,1,0,14.3,26.4,0.9282182539682541,0.5279999999999999,10,28.0,0.9533333333333334,0.56,15.0,20,502805748326,50,32.155367374420166,27.0,0.9623809523809523,0.54,18.0,21,156299688289,50,33.56569218635559,24.0,0.8876587301587302,0.48,14.0,22,469100661221,50,39.49534249305725,27.0,0.9421428571428571,0.54,17.0,23,733295057794,50,34.63022470474243,27.0,0.9244047619047621,0.54,12.0,24,717263017026,50,34.36964702606201,27.0,0.9090079365079365,0.54,10.0,25,523021122055,50,35.69925904273987,28.0,0.9465476190476191,0.56,13.0,26,441149503103,50,32.54506158828735,26.0,0.9078174603174602,0.52,15.0,27,903894823209,50,36.380378007888794,24.0,0.905436507936508,0.48,12.0,28,606618061344,50,39.44860005378723,26.0,0.943452380952381,0.52,17.0,29,366783982512,50,35.50843381881714,353.79800629615784,39.661481857299805
3,1,19,1.9,1,0,2.5,2.4,0.9209444444444446,0.048,10,3.0,0.9988888888888888,0.06,2.0,30,502805748326,50,11.566080570220947,2.0,0.8113888888888889,0.04,1.0,31,156299688289,50,16.37077808380127,3.0,0.9861111111111112,0.06,0.0,32,469100661221,50,11.339010953903198,3.0,0.9494444444444444,0.06,4.0,33,733295057794,50,12.77553939819336,2.0,0.9611111111111112,0.04,3.0,34,717263017026,50,13.00139594078064,2.0,0.9219444444444445,0.04,4.0,35,523021122055,50,13.880136728286743,3.0,0.9275,0.06,2.0,36,441149503103,50,13.238395690917969,2.0,0.9075,0.04,2.0,37,903894823209,50,14.220778465270996,2.0,0.8775,0.04,1.0,38,606618061344,50,14.87654709815979,2.0,0.8680555555555556,0.04,6.0,39,366783982512,50,15.197185277938843,136.46584820747375,16.560413122177124
4,9,58,5.8,1,0,23.2,35.7,0.9115030864197531,0.714,10,35.0,0.9303086419753086,0.7,25.0,40,502805748326,50,40.706276655197144,36.0,0.8991358024691358,0.72,21.0,41,156299688289,50,39.76354169845581,34.0,0.8970061728395061,0.68,23.0,42,469100661221,50,43.06621956825256,37.0,0.9055864197530864,0.74,18.0,43,733295057794,50,38.79958987236023,36.0,0.9186111111111112,0.72,17.0,44,717263017026,50,39.49431538581848,36.0,0.9022839506172838,0.72,29.0,45,523021122055,50,39.93725895881653,37.0,0.9373148148148148,0.74,28.0,46,441149503103,50,37.68088364601135,35.0,0.8976851851851853,0.7,22.0,47,903894823209,50,41.150147438049316,36.0,0.901172839506173,0.72,18.0,48,606618061344,50,39.715797901153564,35.0,0.925925925925926,0.7,31.0,49,366783982512,50,40.67374014854431,400.9877712726593,43.074434995651245
5,3,24,2.4,1,0,5.2,8.2,0.937962962962963,0.16399999999999998,10,8.0,0.9406481481481482,0.16,3.0,50,502805748326,50,22.820360898971558,9.0,0.9424074074074075,0.18,1.0,51,156299688289,50,22.057573556900024,8.0,0.9332407407407407,0.16,4.0,52,469100661221,50,23.29964590072632,9.0,0.9657407407407407,0.18,8.0,53,733295057794,50,20.763900995254517,7.0,0.9111111111111111,0.14,9.0,54,717263017026,50,24.99687147140503,8.0,0.9447222222222221,0.16,2.0,55,523021122055,50,22.643956184387207,9.0,0.9253703703703704,0.18,5.0,56,441149503103,50,22.70677661895752,7.0,0.9289814814814815,0.14,7.0,57,903894823209,50,23.958104133605957,8.0,0.9246296296296296,0.16,5.0,58,606618061344,50,23.72439932823181,9.0,0.9627777777777777,0.18,8.0,59,366783982512,50,20.757401943206787,227.72899103164673,25.00905990600586
6,8,179,17.9,1,0,23.2,39.9,0.9363472222222222,0.798,10,40.0,0.9381597222222222,0.8,29.0,60,502805748326,50,28.35696005821228,40.0,0.9279166666666666,0.8,22.0,61,156299688289,50,28.14477515220642,40.0,0.9573611111111111,0.8,24.0,62,469100661221,50,28.6987407207489,39.0,0.9158333333333333,0.78,23.0,63,733295057794,50,29.083550214767456,40.0,0.9306944444444445,0.8,25.0,64,717263017026,50,27.979080200195312,40.0,0.9331944444444445,0.8,24.0,65,523021122055,50,28.437302589416504,40.0,0.927013888888889,0.8,18.0,66,441149503103,50,28.186002254486084,40.0,0.9393750000000001,0.8,22.0,67,903894823209,50,28.331304788589478,40.0,0.9379513888888888,0.8,19.0,68,606618061344,50,28.161738872528076,40.0,0.9559722222222222,0.8,26.0,69,366783982512,50,28.4762179851532,283.8556728363037,29.09512948989868
7,8,165,16.5,1,0,24.7,39.8,0.9420729166666666,0.796,10,40.0,0.9467708333333333,0.8,29.0,70,502805748326,50,27.436074256896973,40.0,0.9360069444444445,0.8,20.0,71,156299688289,50,27.473368644714355,40.0,0.9595833333333333,0.8,35.0,72,469100661221,50,27.745643377304077,39.0,0.9244097222222222,0.78,20.0,73,733295057794,50,29.247751474380493,40.0,0.9387847222222223,0.8,23.0,74,717263017026,50,27.48807382583618,40.0,0.9415277777777777,0.8,27.0,75,523021122055,50,27.499036073684692,40.0,0.934861111111111,0.8,19.0,76,441149503103,50,27.61358880996704,40.0,0.9482638888888888,0.8,33.0,77,903894823209,50,27.753742694854736,40.0,0.9468402777777778,0.8,21.0,78,606618061344,50,27.75931429862976,39.0,0.9436805555555555,0.78,20.0,79,366783982512,50,29.32505226135254,279.34164571762085,29.34662652015686
8,9,103,10.3,1,0,24.2,41.8,0.9355864197530863,0.836,10,40.0,0.9146296296296297,0.8,28.0,80,502805748326,50,34.889119386672974,44.0,0.9621604938271605,0.88,16.0,81,156299688289,50,31.000845193862915,40.0,0.9103395061728397,0.8,26.0,82,469100661221,50,35.231942892074585,42.0,0.9429938271604938,0.84,20.0,83,733295057794,50,32.54751467704773,41.0,0.9230555555555555,0.82,22.0,84,717263017026,50,33.568506956100464,44.0,0.9733333333333333,0.88,23.0,85,523021122055,50,30.967082500457764,42.0,0.9371296296296295,0.84,28.0,86,441149503103,50,32.80318355560303,42.0,0.9363888888888889,0.84,29.0,87,903894823209,50,32.72390031814575,44.0,0.9592283950617284,0.88,28.0,88,606618061344,50,30.594629764556885,39.0,0.8966049382716049,0.78,22.0,89,366783982512,50,36.73648929595947,331.06321454048157,36.755542516708374
9,7,193,19.3,1,0,24.1,35.0,0.9364484126984127,0.7,10,35.0,0.93734126984127,0.7,25.0,90,502805748326,50,27.06086254119873,35.0,0.9315873015873015,0.7,24.0,91,156299688289,50,27.056689977645874,35.0,0.9464285714285714,0.7,25.0,92,469100661221,50,27.22402596473694,35.0,0.9547222222222222,0.7,32.0,93,733295057794,50,26.82903552055359,35.0,0.9255158730158729,0.7,14.0,94,717263017026,50,26.56188941001892,35.0,0.9198015873015873,0.7,11.0,95,523021122055,50,26.918694734573364,35.0,0.9165079365079364,0.7,8.0,96,441149503103,50,26.877426862716675,35.0,0.9303571428571429,0.7,35.0,97,903894823209,50,27.32720422744751,35.0,0.953968253968254,0.7,28.0,98,606618061344,50,26.571110725402832,35.0,0.9482539682539682,0.7,39.0,99,366783982512,50,27.276277780532837,269.70321774482727,27.348793506622314
