,num_robots,robot_speed,robot_speed_kmh,simulation_duration,generation,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,sequential_execution_time,execution_time,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4
0,9,54,5.4,5,0,29.4,35.4,0.9780617283950614,0.354,1,35.4,0.9780617283950614,0.354,29.4,3,824477712049,100,284.9025363922119,284.9025363922119,302.54177689552307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,96,9.6,5,0,3.2,4.4,0.96,0.044,1,4.4,0.96,0.044,3.2,8,824477712049,100,76.13293671607971,76.13293671607971,76.409095287323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,138,13.8,5,0,3.4,4.8,0.9628888888888888,0.048,1,4.8,0.9628888888888888,0.048,3.4,13,824477712049,100,66.30045890808105,66.30045890808105,66.45871543884277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,84,8.4,5,0,6.4,4.4,0.9869444444444444,0.044,1,4.4,0.9869444444444444,0.044,6.4,18,824477712049,100,38.39975643157959,38.39975643157959,50.853562355041504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,149,14.9,5,0,9.0,9.8,0.9862500000000001,0.098,1,9.8,0.9862500000000001,0.098,9.0,23,824477712049,100,70.82895421981812,70.82895421981812,98.08375477790833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,159,15.9,5,0,21.2,25.0,0.9809666666666667,0.25,1,25.0,0.9809666666666667,0.25,21.2,28,824477712049,100,132.31986737251282,132.31986737251282,168.00247812271118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,55,5.5,5,0,21.8,23.4,0.9801203703703703,0.234,1,23.4,0.9801203703703703,0.234,21.8,33,824477712049,100,210.8559446334839,210.8559446334839,254.50494694709778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5,181,18.1,5,0,19.2,25.2,0.9703555555555555,0.252,1,25.2,0.9703555555555555,0.252,19.2,38,824477712049,100,195.63902831077576,195.63902831077576,195.67326521873474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,110,11.0,5,0,36.8,42.6,0.9863024691358024,0.426,1,42.6,0.9863024691358024,0.426,36.8,43,824477712049,100,205.47755789756775,205.47755789756775,277.5678129196167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7,36,3.6,5,0,19.6,23.0,0.9806825396825397,0.23,1,23.0,0.9806825396825397,0.23,19.6,48,824477712049,100,254.23653864860535,254.23653864860535,330.0568208694458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
