,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,sequential_execution_time,execution_time,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4
0,51,5.1,5,0,10,14,10,11,9,13,12,13,10,11,10,13,12,14,0,0,0,0,0,0,7.6,12.6,0.9495006613756611,0.252,1,12.6,0.9495006613756611,0.252,7.6,3,246004124312,50,172.421382188797,172.421382188797,196.63239574432373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,197,19.7,5,0,11,12,9,12,11,14,9,10,10,11,10,13,9,10,10,14,10,13,0,0,16.0,20.0,0.9437731481481482,0.4,1,20.0,0.9437731481481482,0.4,16.0,8,246004124312,50,199.93078660964966,199.93078660964966,208.00993084907532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,78,7.8,5,0,9,11,10,11,10,14,10,11,9,10,12,14,11,13,11,13,0,0,0,0,7.2,13.2,0.9567274305555555,0.264,1,13.2,0.9567274305555555,0.264,7.2,13,246004124312,50,183.5484504699707,183.5484504699707,213.0858714580536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,97,9.7,5,0,12,14,10,12,9,12,10,11,9,13,10,13,11,14,12,13,12,14,0,0,11.0,19.0,0.9632098765432097,0.38,1,19.0,0.9632098765432097,0.38,11.0,18,246004124312,50,187.89207220077515,187.89207220077515,210.1071116924286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,171,17.1,5,0,10,11,12,14,9,12,9,11,9,13,12,13,10,14,10,11,11,13,0,0,14.4,20.0,0.9551929012345677,0.4,1,20.0,0.9551929012345677,0.4,14.4,23,246004124312,50,175.05554485321045,175.05554485321045,186.0744445323944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,199,19.9,5,0,11,13,12,14,9,10,9,10,11,13,12,14,11,13,0,0,0,0,0,0,9.0,12.0,0.9226984126984126,0.24,1,12.0,0.9226984126984126,0.24,9.0,28,246004124312,50,192.69849801063538,192.69849801063538,192.71108531951904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,96,9.6,5,0,9,10,11,14,12,13,10,12,11,13,10,12,12,14,9,10,0,0,0,0,9.0,12.6,0.9471180555555555,0.252,1,12.6,0.9471180555555555,0.252,9.0,33,246004124312,50,193.37733554840088,193.37733554840088,193.6662998199463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,178,17.8,5,0,9,11,10,12,9,13,9,11,9,11,10,13,12,14,0,0,0,0,0,0,11.4,17.0,0.941762566137566,0.34,1,17.0,0.941762566137566,0.34,11.4,38,246004124312,50,190.3184404373169,190.3184404373169,190.3240396976471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,172,17.2,5,0,12,14,12,13,11,13,11,12,10,13,0,0,0,0,0,0,0,0,0,0,9.0,9.0,0.9597777777777775,0.18,1,9.0,0.9597777777777775,0.18,9.0,43,246004124312,50,102.7464542388916,102.7464542388916,103.10012221336365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,147,14.7,5,0,10,12,11,12,9,13,12,14,10,12,11,13,10,13,11,13,0,0,0,0,12.4,18.0,0.9720341435185185,0.36,1,18.0,0.9720341435185185,0.36,12.4,48,246004124312,50,123.96928691864014,123.96928691864014,160.09457731246948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,106,10.6,5,0,9,10,10,13,9,13,12,14,11,13,12,13,12,14,12,13,11,12,10,14,13.8,19.2,0.9420185185185185,0.384,1,19.2,0.9420185185185185,0.384,13.8,53,246004124312,50,231.61735653877258,231.61735653877258,231.79555749893188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,89,8.9,5,0,11,14,9,11,9,12,9,12,11,14,10,12,12,13,11,14,12,14,12,14,19.4,21.4,0.9555879629629629,0.428,1,21.4,0.9555879629629629,0.428,19.4,58,246004124312,50,219.75232934951782,219.75232934951782,234.80499720573425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,147,14.7,5,1,10,12,9,12,11,14,11,13,10,13,11,12,0,0,0,0,0,0,0,0,12.0,13.8,0.9659953703703703,0.276,1,13.8,0.9659953703703703,0.276,12.0,63,246004124312,50,124.06835627555847,124.06835627555847,166.05417394638062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,197,19.7,5,1,11,12,9,12,11,14,9,10,10,12,10,13,9,10,10,13,9,12,0,0,17.0,20.0,0.9411213991769548,0.4,1,20.0,0.9411213991769548,0.4,17.0,68,246004124312,50,223.1261284351349,223.1261284351349,224.0132577419281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,51,5.1,5,1,10,13,12,13,10,11,10,13,0,0,0,0,0,0,0,0,0,0,0,0,4.6,6.0,0.9581249999999998,0.12,1,6.0,0.9581249999999998,0.12,4.6,73,246004124312,50,107.37664437294006,107.37664437294006,128.49360609054565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,172,17.2,5,1,11,14,9,13,12,13,11,13,11,12,10,13,10,12,0,0,0,0,0,0,11.0,16.0,0.9525661375661374,0.32,1,16.0,0.9525661375661374,0.32,11.0,78,246004124312,50,153.20310831069946,153.20310831069946,153.54857516288757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,106,10.6,5,1,10,12,10,11,9,11,11,13,12,13,12,14,12,13,10,14,0,0,0,0,10.2,14.0,0.9626822916666664,0.28,1,14.0,0.9626822916666664,0.28,10.2,83,246004124312,50,167.1324179172516,167.1324179172516,237.07796573638916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
